資源彙整機關,鄉鎮市區,村里,中心名稱,辦理單位,連絡電話,地址,相關網址,X坐標,Y坐標,備註,最後更新時間
桃園市政府,新屋區,赤欄里,赤欄社區活動中心,新屋區公所社會課,(03)4772111分機312,桃園市新屋區赤欄里8鄰中山西路2段280號,,,,,20181024
桃園市政府,新屋區,下田里,下田社區活動中心,新屋區公所社會課,(03)4772111分機312,桃園市新屋區下田里3鄰中山西路2段780號,,,,,20181024
桃園市政府,新屋區,石牌里,石牌社區活動中心,新屋區公所社會課,(03)4772111分機312,桃園市新屋區石牌里3鄰東興路二段568號,,,,,20181024
桃園市政府,新屋區,下埔里,下埔社區活動中心,新屋區公所社會課,(03)4772111分機312,桃園市新屋區下埔里東興路二段1100號,,,,,20181024
桃園市政府,新屋區,永興里,永興社區活動中心,新屋區公所社會課,(03)4772111分機312,桃園市新屋區永興里永慶一路273號,,,,,20181024
桃園市政府,新屋區,永安里,永安社區活動中心,新屋區公所社會課,(03)4772111分機312,桃園市新屋區永安里13鄰保生路55號,,,,,20181024
桃園市政府,新屋區,?榔里,?榔社區活動中心,新屋區公所社會課,(03)4772111分機312,桃園市新屋區?榔里8鄰9號,,,,,20181024
桃園市政府,新屋區,笨港里,笨港社區活動中心,新屋區公所社會課,(03)4772111分機312,桃園市新屋區笨港里2鄰榕樹下10-1號,,,,,20181024
桃園市政府,新屋區,望間里,望間社區活動中心,新屋區公所社會課,(03)4772111分機312,桃園市新屋區望間里4鄰十五間25號,,,,,20181024
桃園市政府,新屋區,大坡里,大坡社區活動中心,新屋區公所社會課,(03)4772111分機312,桃園市新屋區大坡里5鄰三角堀5號,,,,,20181024
桃園市政府,新屋區,後庄里,後庄社區活動中心,新屋區公所社會課,(03)4772111分機312,桃園市新屋區後庄里5鄰東福路二段515號,,,,,20181024
桃園市政府,新屋區,深圳里,深圳社區活動中心,新屋區公所社會課,(03)4772111分機312,桃園市新屋區深圳里4鄰20-5號,,,,,20181024
桃園市政府,新屋區,蚵間里,蚵間社區活動中心,新屋區公所社會課,(03)4772111分機312,桃園市新屋區蚵間里2鄰東福路三段423號,,,,,20181024
桃園市政府,龍潭區,黃唐里,黃唐社區活動中心,龍潭區公所社會課,(03)4793070分機1211,桃園市龍潭區黃唐里武中路10號,,,,,20181024
桃園市政府,龍潭區,佳安里,佳安社區活動中心,龍潭區公所社會課,(03)4793070分機1211,桃園市龍潭區佳安里文化路188號,,,,,20181024
桃園市政府,龍潭區,九龍里,九龍社區活動中心,龍潭區公所社會課,(03)4793070分機1211,桃園市龍潭區九龍里五福街330號,,,,,20181024
桃園市政府,龍潭區,中山里,中山社區活動中心,龍潭區公所社會課,(03)4793070分機1211,桃園市龍潭區中山里華南路1號,,,,,20181024
桃園市政府,龍潭區,烏林里,烏林社區活動中心,龍潭區公所社會課,(03)4793070分機1211,桃園市龍潭區烏林里中豐路401號,,,,,20181024
桃園市政府,龍潭區,聖德里,八德社區活動中心,龍潭區公所社會課,(03)4793070分機1211,桃園市龍潭區聖德里聖亭路八德段451巷140號,,,,,20181024
桃園市政府,龍潭區,三和里,三和社區活動中心,龍潭區公所社會課,(03)4793070分機1211,桃園市龍潭區三和里10鄰21號,,,,,20181024
桃園市政府,龍潭區,三水里,三水社區活動中心,龍潭區公所社會課,(03)4793070分機1211,桃園市龍潭區三水里龍新路三水段244巷38弄28號,,,,,20181024
桃園市政府,龍潭區,高平里,高平社區活動中心,龍潭區公所社會課,(03)4793070分機1211,桃園市龍潭區高平里龍源路10鄰11號,,,,,20181024
桃園市政府,龍潭區,三林里,三林社區活動中心,龍潭區公所社會課,(03)4793070分機1211,桃園市龍潭區三林里民族路370巷184弄2號,,,,,20181024
桃園市政府,龍潭區,上林里,上林社區活動中心,龍潭區公所社會課,(03)4793070分機1211,桃園市龍潭區上林里金龍路112巷51號,,,,,20181024
桃園市政府,龍潭區,龍星里,大中正社區活動中心,龍潭區公所社會課,(03)4793070分機1211,桃園市龍潭區中正路204號,,,,,20181024
桃園市政府,龍潭區,大平里,大平里集會所,龍潭區公所社會課,(03)4793070分機1211,桃園市龍潭區永平路80號1樓,,,,,20181024
桃園市政府,復興區,三民里,三民社區活動中心,復興區公所社會課,(03)3821500分機122,桃園市復興區三民里5鄰丸山56號,,,,,20181024
桃園市政府,復興區,澤仁里,澤仁社區活動中心,復興區公所社會課,(03)3821500分機122,桃園市復興區澤仁里中正路168-1號,,,,,20181024
桃園市政府,復興區,霞雲里,霞雲社區活動中心,復興區公所社會課,(03)3821500分機122,桃園市復興區霞雲里6鄰21-1號,,,,,20181024
桃園市政府,復興區,奎輝里,奎輝社區活動中心,復興區公所社會課,(03)3821500分機122,桃園市復興區奎輝里3鄰21號1樓,,,,,20181024
桃園市政府,復興區,長興里,長興社區活動中心,復興區公所社會課,(03)3821500分機122,桃園市復興區長興里16鄰35-2號,,,,,20181024
桃園市政府,復興區,三光里,三光社區活動中心,復興區公所社會課,(03)3821500分機122,桃園市復興區三光里7鄰18號,,,,,20181024
桃園市政府,復興區,興建中,羅浮社區活動中心,復興區公所社會課,(03)3821500分機122,興建中,,,,,20181024
桃園市政府,復興區,興建中,華陵社區活動中心,復興區公所社會課,(03)3821500分機122,興建中,,,,,20181024
